,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,52924.0,33814,15522,3588,33202,4513,1785,13424,6442,10872,29794,4502,1314,28805,3276,7095,10590,1305,1853,27904,3459,10853,1254,7068,793,1593,1726,779,26351,4511,3267,7101,1236,7953
Seg_Pct,1.0,0.6389161816945054,0.2932884891542589,0.06779532915123573,0.6273524298994785,0.08527322197868642,0.03372760940216159,0.25364673871967347,0.12172171415614844,0.20542664953518253,0.5629582042173683,0.0850653767666843,0.024828055324616433,0.5442710301564507,0.0619000831380848,0.13406016174136498,0.20009825410021917,0.024658000151160153,0.03501247071272013,0.5272466177915501,0.0653578716650291,0.20506764416899706,0.02369435416824125,0.13354999622099614,0.014983750283425289,0.030099765701761014,0.03261280326505933,0.014719220013604414,0.4979026528607059,0.08523543194014058,0.06173002796462852,0.13417353185700248,0.023354243821328696,0.15027208827753005
Gender,0.37633209885874086,0.3727154433075058,0.3872567968045355,0.36315496098104794,0.37277874826817664,0.3840017726567693,0.35910364145658263,0.3848331346841478,0.38574976715305803,0.38226637233259747,0.37218903134859366,0.3811639271434918,0.3584474885844749,0.3713244228432564,0.3898046398046398,0.3846370683579986,0.38271954674220965,0.35402298850574715,0.37776578521316784,0.37073537844036697,0.3764093668690373,0.38256703215700727,0.35645933014354064,0.3822863610639502,0.4085750315258512,0.4048964218455744,0.40903823870220163,0.4069319640564827,0.36954954271185153,0.38638882731101754,0.3752678298132844,0.38065061258977606,0.3551779935275081,0.38287438702376464
Tenure_Months,26.127994860554757,26.157005973856982,26.101211184125756,25.97045707915273,26.173332931751098,25.87968092178152,26.351820728291315,26.0695768772348,26.0358584290593,26.156456953642383,26.173222796536216,25.853620613060862,26.25875190258752,26.149487936122203,25.87087912087912,26.187455954897814,26.15354107648725,26.190038314176245,25.83108472746897,26.17381020642202,25.99392888117953,26.16152215977149,26.114832535885167,26.14657611771364,25.83732660781841,25.46076585059636,25.66685979142526,25.952503209242618,26.182194224128118,26.090667257814232,25.990817263544535,26.15941416701873,26.09223300970874,26.12070916635232
Quantity,3.6351182828206485,3.0568699355296625,3.0219688184512306,11.737179487179487,3.0088548882597435,4.927321072457345,17.824089635854342,2.862932061978546,9.600900341508849,1.1169977924944812,2.208263408740015,5.452465570857397,21.34855403348554,2.149453219927096,9.272588522588523,8.0754052149401,1.0814919735599622,21.4,1.844576362655154,2.084038130733945,4.630239953743857,1.1049479406615683,21.671451355661883,5.836870401810979,1.1626733921815888,23.145637162586315,21.676129779837776,1.165596919127086,1.8850897499146142,1.1549545555309244,5.415977961432507,6.517110266159696,21.539644012944983,1.0794668678486106
Avg_Price,51.55809349256317,13.8480534689764,117.12713052441543,123.2873857302115,13.085628275404192,141.23514513627342,89.89253221288521,111.46745604886608,37.90709562247677,131.27776214127954,11.69199167617548,133.4521212794317,82.23633942161364,10.991509807324151,84.69736263736223,38.196171952078195,132.3767724268171,79.55273563218411,193.14266594711322,10.514699684632054,112.75935819601045,131.68487422832328,80.24788676236066,39.844636389359835,264.21960907944515,15.23472065285641,16.973876013905205,264.2235558408215,10.062221168076091,153.1788383950343,108.87192837465564,27.409797211660045,81.11562297734648,111.50681252357776
Delivery_Charges,9.729089826920912,9.526982610752448,9.080443241850364,14.43988851727978,9.44349075356862,10.328209616662946,17.5223473389356,9.197777860548369,18.986676497982252,7.126264716703445,8.12023494663343,10.521579298089707,19.643074581430756,7.987226523172979,14.004511599511575,17.47610288935894,7.125555240793177,19.52550957854406,7.565105234754434,7.805475559059559,9.844177507950326,7.066804570164912,19.658094098883577,15.40989105829108,7.52185372005042,29.38991211550528,28.51373117033598,7.545353016688041,7.47798565519329,7.321655952117115,10.317897153351748,16.355692156034593,19.548681229773468,7.005773921790495
Discount_pct,0.1987793817550232,0.1985094931093914,0.20047030021902676,0.19400780379041657,0.1987139328956362,0.19627742078440621,0.19243697478991686,0.2006257449344319,0.20049674014280805,0.20197755702721235,0.19820433644359567,0.19478009773434593,0.19063926940639087,0.19806977955217533,0.1968253968254005,0.20031007751937396,0.20169971671386724,0.18850574712643484,0.197949271451701,0.19784260321102085,0.19230991616074491,0.20206394545285639,0.19074960127591514,0.20176853423881735,0.21210592686002522,0.19328311362209755,0.19524913093858765,0.21142490372272135,0.19817084740617938,0.1961649301706985,0.19259259259259706,0.20167582030699444,0.19053398058252244,0.20304287690179051
GST,0.13746183206117282,0.15760395102622335,0.10203131039812456,0.1009141583054675,0.15791910125897687,0.09430534012852439,0.1106946778711475,0.10493221096542255,0.1431574045327468,0.09623344370861905,0.15832717996910653,0.09755664149267716,0.11427701674276934,0.1580319388994702,0.11036324786325219,0.14653981677236486,0.09656940509916208,0.11506513409961598,0.08032379924446668,0.15780210722473317,0.10375542064180804,0.09620934303880115,0.11518341307814915,0.14958828522919146,0.05327868852458991,0.1410483364720671,0.14101390498262067,0.052888318356867574,0.15758377291178627,0.09353580137442466,0.10474135292317434,0.1590874524714725,0.11483818770226452,0.10086759713316742
Invoice_Value,96.89361636157278,32.535358785413635,164.1825518335113,412.3203904097003,31.30635794289406,289.0328264170219,486.1855065041955,142.75311242326015,105.4251809733017,150.67561905168395,24.987541529166524,308.00608684807173,517.185076750376,23.790425860093492,268.91707573260265,93.95455372093215,148.89401053445928,516.9474643754743,347.39914954128477,22.790202613962148,306.3762752009302,150.30969464479008,521.5436887799001,80.41516383276947,340.028670491805,193.9487679096049,186.4217873464661,342.21622682927006,21.177435282911688,182.26559953004315,312.0087969513366,70.17383994367094,523.2714178883454,125.11001388784744
