r_seg,Active,Active,Active,Active,At Risk,At Risk,At Risk,At Risk,Churn,Churn,Churn,Churn
fm_seg,Gold,Platinum,Silver,Standard,Gold,Platinum,Silver,Standard,Gold,Platinum,Silver,Standard
Avg_Price,3544.0356060606064,4293.554020618555,2892.2825324675314,688.2787378640779,2218.9363963963956,3327.856250000002,1552.2620218579232,518.0082312925167,1921.422352941177,2494.1454999999996,1412.4105421686747,461.07791878172594
Delivery_Charges,675.9657575757573,757.8147422680414,458.1658441558441,106.57262135922328,500.4904504504505,759.9987499999997,317.8767213114755,109.11013605442172,445.8447058823529,673.9855,347.99144578313246,118.36340101522843
Discount_pct,12.21060606060605,14.349484536082478,10.08896103896104,2.8844660194174754,9.856756756756768,12.56428571428568,6.678688524590163,2.5149659863945595,7.075490196078425,10.195,5.351204819277109,2.143147208121827
GST,8.18931818181818,9.219999999999997,6.2376623376623375,1.7496116504854369,7.112702702702699,10.187142857142865,4.8299999999999965,1.8478231292517013,5.201078431372545,7.090499999999996,3.996385542168674,1.5617258883248724
Invoice_Value,6982.103922272727,8192.953023711338,5069.3450649999995,1165.4910554368932,4531.180565225226,7538.8101180357135,2928.215077486339,916.9467576190476,4108.154914803921,5832.271868,2853.6907964457823,888.8376335025375
Recency,37.10606060606061,33.52577319587629,35.77922077922078,34.53398058252427,130.6936936936937,121.78571428571429,130.66666666666666,133.93197278911563,274.3333333333333,261.55,266.644578313253,264.97969543147207
Frequency,53.10606060606061,81.28865979381443,22.844155844155843,12.0,58.16216216216216,73.80357142857143,43.994535519125684,11.727891156462585,41.068627450980394,81.0,29.825301204819276,10.918781725888325
Monetary,6981.606060606061,8192.422680412372,5068.805194805195,1164.9611650485438,4530.711711711711,7538.357142857143,2927.7158469945357,916.4897959183673,4107.676470588235,5831.85,2853.2168674698796,888.2994923857868
